timestamp,open,high,low,close,volume
2020-03-02 16:00:00,292.1300,301.4400,292.1200,298.8400,5773358
2020-03-02 15:45:00,291.7100,292.9400,291.5200,292.1050,2057072
2020-03-02 15:30:00,290.4600,292.1100,289.8200,291.6290,1687843
2020-03-02 15:15:00,288.3235,290.9900,288.0600,290.4900,1854836
2020-03-02 15:00:00,287.9000,289.6500,287.1800,288.3500,1602080
2020-03-02 14:45:00,290.2600,290.5900,287.0940,287.9399,1707848
2020-03-02 14:30:00,291.8950,291.8999,290.0400,290.3005,1364951
2020-03-02 14:15:00,290.5700,291.9300,290.4100,291.9000,1324070
2020-03-02 14:00:00,290.8600,291.2900,289.5100,290.6500,1340472
2020-03-02 13:45:00,288.4500,290.8300,287.8600,290.8300,1480774
2020-03-02 13:30:00,290.6884,290.9100,287.8000,288.4300,1708233
2020-03-02 13:15:00,292.0300,292.1950,290.3200,290.6381,1225093
2020-03-02 13:00:00,290.6550,292.7500,290.6550,292.0500,1439005
2020-03-02 12:45:00,289.9750,292.4800,289.4300,290.6400,2215006
2020-03-02 12:30:00,291.5000,291.6100,289.0500,289.9700,2612438
2020-03-02 12:15:00,292.7300,293.5400,291.2750,291.5131,2823537
2020-03-02 12:00:00,291.9300,292.7900,291.5100,292.7200,2611642
2020-03-02 11:45:00,289.3940,291.9500,289.2500,291.8600,3389751
2020-03-02 11:30:00,289.2900,289.9500,288.8550,289.6093,3193421
2020-03-02 11:15:00,285.0100,289.5400,284.9300,289.2630,3704900
2020-03-02 11:00:00,284.2100,286.1500,284.1200,285.1000,3344047
2020-03-02 10:45:00,281.3050,284.2100,280.1800,284.2100,2249780
2020-03-02 10:30:00,281.8600,282.1640,280.0600,281.2928,2138701
2020-03-02 10:15:00,281.6400,281.8000,280.3400,281.8000,2991664
2020-03-02 10:00:00,279.8500,282.5000,279.8500,281.5493,3515688
2020-03-02 09:45:00,283.3800,284.2300,278.0042,279.8500,8211867
2020-02-28 16:00:00,265.7100,274.6400,265.7100,274.6400,4783630
2020-02-28 15:45:00,266.7050,269.0000,265.6900,265.6900,2285290
2020-02-28 15:30:00,268.1900,271.3800,266.6840,266.6840,2314811
2020-02-28 15:15:00,268.9800,269.6200,266.4800,268.2700,1983352
2020-02-28 15:00:00,271.6300,271.9150,268.8440,268.8900,2461656
2020-02-28 14:45:00,266.9400,272.0400,266.3000,271.6355,2661805
2020-02-28 14:30:00,265.3100,267.4950,264.8800,267.0000,1649760
2020-02-28 14:15:00,266.8800,266.9899,263.6600,265.3200,1654694
2020-02-28 14:00:00,266.1000,267.3700,265.3800,266.9300,1584909
2020-02-28 13:45:00,270.3300,270.3600,265.8800,266.0400,2134220
2020-02-28 13:30:00,272.1301,274.2800,270.2800,270.3300,1507413
2020-02-28 13:15:00,273.9324,274.8690,272.1200,272.1650,1912606
2020-02-28 13:00:00,272.9400,274.3100,270.2100,273.9600,1599439
2020-02-28 12:45:00,272.2800,274.7200,271.8300,272.9100,2413999
2020-02-28 12:30:00,269.9900,272.3200,268.4700,272.3200,2012169
2020-02-28 12:15:00,270.0440,270.7500,267.6560,270.0720,1998472
2020-02-28 12:00:00,276.5600,276.8500,267.6700,270.1700,3665744
2020-02-28 11:45:00,269.6000,278.0300,269.4560,276.5200,4351500
2020-02-28 11:30:00,266.1900,269.6200,265.7100,269.5800,2406807
2020-02-28 11:15:00,268.4900,268.7000,264.2900,266.2700,3214217
2020-02-28 11:00:00,263.5872,268.7700,263.5300,268.5000,3737307
2020-02-28 10:45:00,260.8400,264.7700,260.6400,263.6200,3067167
2020-02-28 10:30:00,259.9100,264.5100,259.4400,260.9500,4574154
2020-02-28 10:15:00,260.5171,263.1327,259.4989,259.9769,4785188
2020-02-28 10:00:00,258.6100,260.7800,257.6900,260.5100,5262645
2020-02-28 09:45:00,257.8200,264.6150,256.3700,258.7500,12545052
2020-02-27 16:00:00,276.4000,276.8600,273.0200,273.0798,4800556
2020-02-27 15:45:00,277.7504,278.0390,276.0500,276.4250,2097918
2020-02-27 15:30:00,279.8200,280.3270,277.7500,277.7500,1512314
2020-02-27 15:15:00,278.2700,280.6200,277.1900,279.8250,2020997
2020-02-27 15:00:00,280.1300,280.3000,278.2200,278.3000,1111678
2020-02-27 14:45:00,280.7600,280.7800,279.1000,280.1100,893482
2020-02-27 14:30:00,279.8200,280.8050,279.0300,280.8050,1226049
2020-02-27 14:15:00,280.4500,280.7800,278.6400,279.8094,1487882
2020-02-27 14:00:00,279.9600,283.4700,279.7400,280.5900,1736859
2020-02-27 13:45:00,281.2500,282.1000,279.2500,279.9200,1704987
2020-02-27 13:30:00,283.8900,283.9700,281.1500,281.2287,1104524
2020-02-27 13:15:00,282.2600,283.9300,281.6900,283.8600,1253418
2020-02-27 13:00:00,283.9400,285.5600,282.2800,282.3000,1485308
2020-02-27 12:45:00,282.7800,285.3200,282.5300,283.8850,1960870
2020-02-27 12:30:00,284.5137,284.5900,280.6100,282.8100,1845983
2020-02-27 12:15:00,282.0200,284.5070,281.3950,284.5066,2088100
2020-02-27 12:00:00,279.6100,282.5300,278.2000,282.0700,1850952
2020-02-27 11:45:00,280.8700,281.2800,279.5000,279.5000,1703755
2020-02-27 11:30:00,282.6300,284.4900,280.7000,280.8100,2203766
2020-02-27 11:15:00,281.1500,283.9150,281.0500,282.6400,2731214
2020-02-27 11:00:00,276.6200,281.2500,276.5200,281.1900,3135106
2020-02-27 10:45:00,277.1012,277.5300,274.4200,276.6651,4159060
2020-02-27 10:30:00,281.9100,282.0223,275.7500,277.1300,4471374
2020-02-27 10:15:00,282.8300,284.1300,280.8100,281.9200,2733889
2020-02-27 10:00:00,282.5300,284.1300,280.7820,282.9100,3748231
2020-02-27 09:45:00,281.5050,285.8544,280.0000,282.6200,6895928
2020-02-26 16:00:00,292.9400,293.1000,292.5500,292.7100,1782524
2020-02-26 15:45:00,292.8300,293.0400,292.3100,292.9083,1000682
2020-02-26 15:30:00,292.7400,294.0300,292.5500,292.8400,1046266
2020-02-26 15:15:00,291.4527,293.2197,291.4527,292.7700,975832
2020-02-26 15:00:00,291.5800,292.2100,291.3100,291.4400,839401
2020-02-26 14:45:00,292.0900,292.6800,291.2600,291.5300,920123
